City_ID,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Description
348,Los Llanos De Aridane,28.6585,-17.9182,64.4,54.0,63,90,9.22,ES,overcast clouds
349,Yantai,37.5333,121.4,48.92,48.92,57,0,8.21,CN,clear sky
350,Basco,20.4487,121.9702,75.56,75.56,79,29,19.48,PH,scattered clouds
351,Geraldton,-28.7667,114.6,87.8,87.8,30,0,17.27,AU,clear sky
352,Kroya,-7.6331,109.2461,86.54,86.54,62,100,8.28,ID,overcast clouds
353,Kutum,14.2,24.6667,65.16,65.16,22,14,13.0,SD,few clouds
354,Vestmannaeyjar,63.4427,-20.2734,33.85,33.85,60,98,27.72,IS,overcast clouds
355,Dongli,23.5656,116.8194,71.6,71.6,60,75,4.47,CN,broken clouds
356,Barrhead,55.7992,-4.3929,36.0,33.01,100,88,3.44,GB,overcast clouds
357,Ratholo,-22.7245,27.572,66.51,66.51,87,20,7.74,BW,few clouds
358,Dauriya,49.9333,116.8667,34.18,34.18,92,0,2.98,RU,clear sky
359,Kempen,51.3667,6.4167,46.0,44.01,87,90,14.97,DE,light rain
360,Seydi,39.4816,62.9137,38.97,38.97,85,100,18.75,TM,light rain
361,Broken Hill,-31.95,141.4333,84.2,84.2,32,40,27.63,AU,light rain
362,Lianran,24.9227,102.485,70.0,62.6,51,20,4.47,CN,few clouds
363,Bianzhuang,34.8486,118.0447,61.57,61.57,50,56,1.95,CN,broken clouds
364,Constitucion,-35.3333,-72.4167,58.35,58.35,65,0,1.03,CL,clear sky
365,Lincoln,40.8,-96.667,44.01,43.0,55,94,3.0,US,overcast clouds
366,Mehamn,71.0357,27.8492,17.98,17.98,83,99,7.76,NO,overcast clouds
367,Iquitos,-3.7481,-73.2472,73.4,73.4,94,20,2.3,PE,few clouds
368,Gambiran,-6.7988,111.4951,86.09,86.09,65,93,3.98,ID,overcast clouds
369,Mount Gambier,-37.8333,140.7667,59.0,59.0,72,90,21.85,AU,overcast clouds
370,Piranhas,-16.4269,-51.8222,70.95,70.95,92,70,4.16,BR,broken clouds
371,Edd,13.9297,41.6925,85.6,85.6,40,8,13.82,ER,clear sky
372,Punta De Bombon,-17.1717,-71.7931,71.58,71.58,85,11,3.6,PE,few clouds
373,Rapid Valley,44.0625,-103.1463,36.0,30.2,86,1,3.83,US,clear sky
374,Beloha,-25.1667,45.05,76.42,76.42,69,0,15.21,MG,clear sky
375,Antalaha,-14.9003,50.2788,80.53,80.53,73,8,9.31,MG,clear sky
376,Quelimane,-17.8786,36.8883,77.0,77.0,94,75,2.3,MZ,light rain
377,Quirinopolis,-18.4483,-50.4517,70.25,70.25,85,90,1.03,BR,overcast clouds
378,Salalah,17.0151,54.0924,73.4,73.4,78,20,3.44,OM,few clouds
379,Lang Son,21.8333,106.7333,75.9,75.9,63,91,3.27,VN,overcast clouds
380,Viedma,-40.8135,-62.9967,63.75,63.75,49,0,7.67,AR,clear sky
381,Tautira,-17.7333,-149.15,82.4,82.0,78,40,2.3,PF,scattered clouds
382,Hasaki,35.7333,140.8333,57.2,55.0,94,75,21.85,JP,broken clouds
383,San Carlos De Bariloche,-41.1456,-71.3082,55.0,50.0,57,0,4.61,AR,clear sky
384,Sistranda,63.7256,8.834,35.6,35.6,75,0,8.05,NO,clear sky
385,Cervo,43.6702,-7.4101,42.01,42.01,97,36,14.0,ES,scattered clouds
386,College,64.8569,-147.8028,-13.0,-14.8,70,1,1.39,US,clear sky
387,Klaksvik,62.2266,-6.589,37.4,37.4,87,75,12.66,FO,broken clouds
388,Codrington,-38.2667,141.9667,59.18,59.18,68,100,17.36,AU,overcast clouds
389,Bogorodskoye,56.55,37.8833,19.72,19.72,90,99,15.57,RU,overcast clouds
390,Avera,33.194,-82.5271,61.0,53.6,82,1,6.67,US,clear sky
391,La Malbaie,47.6575,-70.1559,33.8,30.2,51,15,8.05,CA,few clouds
392,Yar-Sale,66.8333,70.8333,0.72,0.72,81,100,18.92,RU,overcast clouds
393,Iguatu,-6.3594,-39.2986,71.67,71.67,91,11,2.55,BR,few clouds
394,Jiangyou,31.7667,104.7167,68.88,68.88,55,7,6.13,CN,clear sky
395,West Lafayette,40.4259,-86.9081,48.2,43.0,46,1,5.57,US,clear sky
396,Pouebo,-20.4,164.5667,81.1,81.1,69,32,10.6,NC,scattered clouds
397,Sunrise Manor,36.2111,-115.0731,45.0,41.0,100,75,8.05,US,broken clouds
398,Melendugno,40.2747,18.3368,48.99,46.4,100,0,5.75,IT,clear sky
399,Bolkhov,53.4433,36.0044,20.97,20.97,94,100,15.95,RU,snow
400,Te Anau,-45.4167,167.7167,66.04,66.04,53,0,7.72,NZ,clear sky
401,Port Moresby,-9.4431,147.1797,86.0,86.0,74,40,11.5,PG,light rain
402,Egvekinot,66.3167,-179.1667,25.84,25.84,97,100,23.35,RU,snow
403,Kachiry,53.0675,76.1036,-4.09,-4.09,93,51,12.21,KZ,broken clouds
404,San Juan,-31.5375,-68.5364,72.66,72.66,61,48,7.45,AR,scattered clouds
405,Imeni Poliny Osipenko,52.4201,136.4853,33.19,33.19,98,100,10.22,RU,overcast clouds
406,Dronninglund,57.1604,10.2929,37.4,36.0,93,75,8.05,DK,broken clouds
407,Davila,18.4726,120.5763,91.4,91.4,40,20,10.36,PH,few clouds
408,Hobyo,5.3505,48.5268,80.8,80.8,68,53,16.42,SO,broken clouds
409,Dhidhdhoo,6.8833,73.1,83.53,83.53,74,19,11.83,MV,few clouds
410,Kamenka,51.3223,42.7678,12.99,12.99,79,78,14.14,RU,broken clouds
411,Le Havre,49.4938,0.1077,44.6,44.6,81,0,25.32,FR,clear sky
412,Vanimo,-2.6741,141.3028,83.68,83.68,76,74,3.44,PG,broken clouds
413,Manali,13.1667,80.2667,84.2,84.2,61,40,2.3,IN,scattered clouds
414,Severnoye,56.3491,78.3619,0.28,0.28,93,88,8.7,RU,overcast clouds
415,Matara,5.9485,80.5353,87.24,87.24,57,16,12.59,LK,few clouds
416,Cerritos,33.8583,-118.0648,53.6,51.01,66,75,8.75,US,broken clouds
417,Bilibino,68.0546,166.4372,7.66,7.66,95,100,6.17,RU,light snow
418,Bubaque,11.2833,-15.8333,77.7,77.7,65,40,11.12,GW,scattered clouds
419,Timaru,-44.4,171.25,66.0,66.0,69,0,11.01,NZ,clear sky
420,Guadalupe Y Calvo,26.1,-106.9667,42.3,42.3,51,48,4.43,MX,scattered clouds
421,Farsund,58.0948,6.8047,39.0,39.0,92,54,8.05,NO,broken clouds
422,Turtas,58.9417,69.1325,9.34,9.34,91,99,10.45,RU,overcast clouds
423,Okoneshnikovo,54.8377,75.0834,-2.51,-2.51,93,29,10.4,RU,scattered clouds
424,Hegang,47.4,130.3667,40.39,40.39,61,19,8.03,CN,few clouds
425,Hamilton,39.1834,-84.5333,50.0,46.99,40,90,11.5,US,overcast clouds
426,Biak,-0.9131,122.8766,83.71,83.71,69,94,3.98,ID,overcast clouds
427,Pangai,-19.8,-174.35,82.4,82.4,69,20,7.87,TO,few clouds
428,Northam,51.0333,-4.2167,46.0,45.0,80,94,21.99,GB,overcast clouds
429,La Romana,18.4273,-68.9728,70.07,70.07,87,0,7.49,DO,clear sky
430,Araguaina,-7.1911,-48.2072,72.75,72.75,94,96,2.64,BR,overcast clouds
431,Lucapa,-8.4192,20.7447,65.14,65.14,97,100,2.73,AO,light rain
432,Kavaratti,10.5669,72.642,83.68,83.68,64,0,6.62,IN,clear sky
433,Emirdag,39.0197,31.15,36.32,36.32,51,16,2.37,TR,few clouds
434,Perth,-31.9333,115.8333,75.2,73.4,35,0,17.27,AU,clear sky
435,Pevek,69.7008,170.3133,8.38,8.38,94,100,7.09,RU,light snow
436,Yuancheng,36.652,107.7896,60.35,60.35,40,0,18.25,CN,clear sky
437,Kurilsk,45.2333,147.8833,33.46,33.46,63,0,9.31,RU,clear sky
438,Dustlik,40.5247,68.0358,49.44,49.44,83,100,4.03,UZ,moderate rain
439,Show Low,34.2542,-110.0298,33.8,30.99,64,90,5.75,US,overcast clouds
440,Namatanai,-3.6667,152.4333,83.95,83.95,67,69,6.11,PG,broken clouds
441,Santa Marta,11.2408,-74.199,77.0,77.0,81,46,3.0,CO,scattered clouds
442,Esteli,13.0919,-86.3538,65.16,65.16,87,4,7.96,NI,clear sky
443,Sakakah,29.9697,40.2064,46.4,46.4,66,0,4.61,SA,clear sky
444,Muravlenko,63.7898,74.523,10.98,10.98,85,100,26.4,RU,overcast clouds
445,Adrar,20.5022,-10.0711,59.41,59.41,19,51,10.02,MR,broken clouds
446,Nishihara,26.1842,127.7558,69.8,66.2,45,75,16.11,JP,broken clouds
447,Ostersund,63.1792,14.6357,28.99,26.6,100,90,2.3,SE,mist
448,Paamiut,61.994,-49.6678,7.88,7.88,52,34,10.56,GL,scattered clouds
449,Asau,46.4333,26.4,37.99,37.99,59,100,3.22,RO,light rain
450,Seymchan,62.8833,152.4333,3.4,3.4,75,100,10.8,RU,overcast clouds
451,Octeville,49.6261,-1.6435,46.0,44.6,81,75,29.93,FR,broken clouds
452,Pavlovka,52.6897,47.1405,2.25,2.25,99,92,8.3,RU,overcast clouds
453,Sosnovoborsk,56.1325,93.3589,14.0,14.0,52,0,4.47,RU,clear sky
454,Adeje,28.1227,-16.726,63.0,46.99,67,20,12.66,ES,few clouds
455,Tongliao,43.6125,122.2653,51.53,51.53,29,1,7.34,CN,clear sky
456,Bathurst,-33.4166,149.5806,84.0,84.0,49,6,1.01,AU,clear sky
457,Ixtapa,20.7,-105.2,71.01,69.8,88,1,2.08,MX,clear sky
458,Dwarka,22.2394,68.9678,81.41,81.41,51,23,8.75,IN,few clouds
459,Byron Bay,-28.65,153.6167,81.0,80.6,69,75,14.97,AU,broken clouds
460,Teya,60.3778,92.6267,11.14,11.14,84,67,10.42,RU,broken clouds
461,Morehead,37.2711,-87.1764,53.6,51.01,76,90,3.44,US,moderate rain
462,Kilindoni,-7.9139,39.6668,80.6,80.6,70,5,4.83,TZ,clear sky
463,Korla,41.7597,86.1469,62.83,62.83,22,0,20.47,CN,clear sky
464,Honiara,-9.4333,159.95,83.12,83.12,76,87,4.36,SB,overcast clouds
465,Shieli,44.1667,66.75,19.44,19.44,63,100,24.83,KZ,light snow
466,Garowe,8.4054,48.4845,69.67,69.67,67,1,9.95,SO,clear sky
467,Alihe,50.5667,123.7167,42.67,42.67,55,0,5.32,CN,clear sky
468,Luderitz,-26.6481,15.1594,65.3,65.3,69,0,4.7,NA,clear sky
469,Ligayan,4.6533,119.4706,82.24,82.24,76,59,13.62,PH,broken clouds
470,San Patricio,28.017,-97.5169,72.0,71.01,88,90,18.41,US,overcast clouds
471,Ponta Delgada,37.7333,-25.6667,59.0,59.0,88,75,10.36,PT,broken clouds
472,Kudymkar,59.0173,54.656,7.5,7.5,84,7,9.31,RU,clear sky
473,Turukhansk,65.8167,87.9833,-5.78,-5.78,96,100,22.28,RU,light snow
474,Luanda,-8.8368,13.2343,77.0,77.0,83,75,8.05,AO,broken clouds
475,Kuala Terengganu,5.3302,103.1408,86.0,86.0,70,40,8.05,MY,scattered clouds
476,Njombe,-9.3333,34.7667,58.69,58.69,93,99,0.83,TZ,overcast clouds
477,Kilcormac,53.1742,-7.7256,37.99,37.99,90,68,8.99,IE,moderate rain
478,Tirumullaivasal,11.2333,79.8333,85.39,85.39,54,10,10.27,IN,clear sky
479,Benguela,-12.5763,13.4055,78.82,78.82,83,100,2.04,AO,overcast clouds
480,La Crosse,43.8014,-91.2396,30.99,30.0,69,1,1.92,US,clear sky
481,Takab,36.4009,47.1133,21.16,21.16,85,89,1.79,IR,overcast clouds
482,Grand Gaube,-20.0064,57.6608,84.0,84.0,64,40,7.0,MU,scattered clouds
483,Kawalu,-7.3817,108.2082,89.2,89.2,50,100,2.66,ID,light rain
484,Plettenberg Bay,-34.0527,23.3716,68.4,68.4,67,33,4.29,ZA,scattered clouds
485,Katherine,-14.4667,132.2667,93.2,93.2,46,90,4.61,AU,overcast clouds
486,San Francisco,37.7749,-122.4194,53.6,46.99,71,20,19.57,US,few clouds
487,Tres Passos,-27.4556,-53.9319,57.78,57.78,79,0,3.49,BR,clear sky
488,Gravelbourg,49.8834,-106.5512,30.49,30.49,70,0,5.48,CA,clear sky
489,Kampot,10.6167,104.1833,87.8,86.0,55,20,10.36,KH,few clouds
490,Suntar,62.1444,117.6319,23.14,23.14,91,100,12.64,RU,light snow
491,Aden,12.7794,45.0367,78.91,78.91,70,27,18.16,YE,scattered clouds
492,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.0,23.0,42,0,20.13,RU,clear sky
